name,screen_name,party,total_tweets,covid_tweets
"Altmaier, Peter",peteraltmaier,CDU,254,23
"Annen, Niels",NielsAnnen,SPD,767,135
"Baerbock, Annalena",ABaerbock,Bündnis 90/Die Grünen,296,47
"Bahr, Ulrike",MdB_Ulrike_Bahr,SPD,0,0
"Bär, Dorothee",DoroBaer,CSU,1026,13
"Bareiß, Thomas",Thomas_Bareiss,CDU,784,107
"Bartke, Dr. Matthias",matthiasbartke,SPD,52,4
"Bartol, Sören",soerenbartol,SPD,228,9
"Bartsch, Dr. Dietmar",DietmarBartsch,Die Linke,828,123
"Bas, Bärbel",baerbelbas,SPD,593,112
"Beermann, Maik",MaikBeermann,CDU,100,18
"Behrens, Manfred",Manfredbehrens,CDU,0,0
"Benning, Sybille",SybilleBenning,CDU,0,0
"Bilger, Steffen",SteffenBilger,CDU,166,17
"Binding, Lothar",Lothar_Binding,SPD,92,4
"Birkwald, Matthias W.",MWBirkwald,Die Linke,96,2
"Brantner, Dr. Franziska",fbrantner,Bündnis 90/Die Grünen,841,111
"Braun, Dr. Helge",HBraun,CDU,78,25
"Brehmer, Heike",HeikeBrehmerMdB,CDU,43,10
"Brinkhaus, Ralph",rbrinkhaus,CDU,140,31
"Brugger, Agnieszka",agnieszka_mdb,Bündnis 90/Die Grünen,378,53
"Brunner, Dr. Karl-Heinz",BrunnerGanzOhr,SPD,150,15
"Buchholz, Christine",ch_buchholz,Die Linke,238,25
"Bülow, Marco",marcobuelow,Fraktionslos,1655,160
"Castellucci, Prof. Dr. Lars",larscastellucci,SPD,383,34
"Dagdelen, Sevim",SevimDagdelen,Die Linke,370,39
"De Ridder, Dr. Daniela",DeRidder_MdB,SPD,0,0
"Dehm, Dr. Diether",Diether_Dehm,Die Linke,226,55
"Deligöz, Ekin",ekindeligoez,Bündnis 90/Die Grünen,600,77
"Diaby, Dr. Karamba",KarambaDiaby,SPD,116,21
"Dittmar, Sabine",dittmarsabine,SPD,28,11
"Dörner, Katja",katjadoerner,Bündnis 90/Die Grünen,807,102
"Dröge, Katharina",katdro,Bündnis 90/Die Grünen,387,69
"Durz, Hansjörg",Hansjoerg_Durz,CSU,8,4
"Ebner, Harald",ebner_sha,Bündnis 90/Die Grünen,170,7
"Ernst, Klaus",ernst_klaus,Die Linke,115,35
"Esken, Saskia",EskenSaskia,SPD,3651,400
"Feiler, Uwe",UweFe,CDU,0,0
"Felgentreu, Dr. Fritz",fritzfelgentreu,SPD,2519,75
"Fischer, Axel",Axel_Fischer,CDU,91,13
"Franke, Dr. Edgar",FrankeEdgar,SPD,25,4
"Freese, Ulrich",UliFreese,SPD,28,4
"Frieser, Michael",MichaelFrieser,CSU,19,6
"Fuchtel, Hans-Joachim",fuchtel,CDU,0,0
"Gastel, Matthias",MatthiasGastel,Bündnis 90/Die Grünen,445,45
"Gebhart, Dr. Thomas",thomasgebhart,CDU,76,25
"Gehring, Kai",KaiGehring,Bündnis 90/Die Grünen,1392,373
"Gerdes, Michael",GerdesMdB,SPD,0,0
"Gohlke, Nicole",NicoleGohlke,Die Linke,752,258
"Göring-Eckardt, Katrin",GoeringEckardt,Bündnis 90/Die Grünen,794,116
"Glöckner, Angelika",A_Gloeckner,SPD,133,24
"Griese, Kerstin",KerstinGriese,SPD,554,53
"Gröhe, Hermann",groehe,CDU,456,63
"Groß, Michael ",michaelgrossmdb,SPD,0,0
"Grosse-Brömer, Michael",MGrosseBroemer,CDU,787,27
"Grötsch, Uli",UliGroetsch,SPD,327,44
"Grübel, Markus",GruebelMdb,CDU,41,3
"Güntzler, Fritz",FGuentzler,CDU,2,0
"Gutting, Olav",olavgutting,CDU,220,31
"Gysi, Dr. Gregor",GregorGysi,Die Linke,91,16
"Hahn, Florian",hahnflo,CSU,642,94
"Hajduk, Anja",HajdukBundestag,Bündnis 90/Die Grünen,23,5
"Hakverdi, Metin",MetinHakverdi,SPD,416,20
"Hänsel, Heike",HeikeHaensel,Die Linke,294,50
"Hardt, Jürgen",juergenhardt,CDU,269,31
"Hartmann, Sebastian",sebast_hartmann,SPD,265,49
"Haßelmann, Britta",BriHasselmann,Bündnis 90/Die Grünen,984,147
"Hauer, Matthias",MatthiasHauer,CDU,5176,260
"Hauptmann, Mark",MarkHauptmann,CDU,155,19
"Heider, Dr. Matthias",MatthiasHeider,CDU,0,0
"Heil, Hubertus",hubertus_heil,SPD,269,47
"Heil, Mechthild",MechthildHeil,CDU,25,7
"Heinrich, Frank",FrankHeinrich,CDU,9,0
"Heinrich, Gabriela",GaHeinrich,SPD,1,0
"Held, Marcus",MarcusHeld_SPD,SPD,0,0
"Hellmich, Wolfgang",HellmichMdB,SPD,83,3
"Herzog, Gustav",GustavHerzogMdB,SPD,0,0
"Hirte, Christian",ChristianHirte,CDU,300,40
"Hirte, Prof. Dr. Heribert",HHirte,CDU,1295,103
"Hitschler, Thomas",ThomasHitschler,SPD,1015,26
"Hofreiter, Dr. Anton",ToniHofreiter,Bündnis 90/Die Grünen,0,0
"Hunko, Andrej",AndrejHunko,Die Linke,883,109
"Janecek, Dieter",DJanecek,Bündnis 90/Die Grünen,2271,541
"Jarzombek, Thomas",tj_tweets,CDU,421,30
"Jelpke, Ulla",UllaJelpke,Die Linke,246,68
"Jurk, Thomas",thomas_jurk,SPD,0,0
"Kaczmarek, Oliver",KaczmarekOliver,SPD,150,27
"Karliczek, Anja",AnjaKarliczek,CDU,3,0
"Kaufmann, Dr. Stefan",StefanKaufmann,CDU,634,102
"Kekeritz, Uwe",UweKekeritz,Bündnis 90/Die Grünen,229,29
"Kemmer, Ronja",RonjaKemmer,CDU,21,1
"Kiesewetter, Roderich",RKiesewetter,CDU,627,49
"Kindler, Sven-Christian",sven_kindler,Bündnis 90/Die Grünen,1651,178
"Kipping, Katja",katjakipping,Die Linke,917,212
"Kiziltepe, Cansel",CanselK,SPD,635,60
"Klare, Arno",arnoklare,SPD,48,22
"Klein, Volkmar",VolkmarKlein,CDU,3,1
"Klein-Schmeink, Maria",MariaKlSchmeink,Bündnis 90/Die Grünen,1498,448
"Klingbeil, Lars",larsklingbeil,SPD,658,42
"Koeppen, Jens",JensKoeppen,CDU,54,8
"Kofler, Dr. Bärbel",BaerbelKofler,SPD,275,24
"Kolbe, Daniela",danielakolbe,SPD,734,63
"Koob, Markus",KoobMar,CDU,0,0
"Korte, Jan",jankortemdb,Die Linke,411,70
"Kotting-Uhl, Sylvia",KottingUhl,Bündnis 90/Die Grünen,25,2
"Kramme, Anette",AnetteKramme,SPD,1,0
"Krellmann, Jutta",JuttaKrellmann,Die Linke,55,9
"Krings, Dr. Günter",guenterkrings,CDU,0,0
"Krischer, Oliver",Oliver_Krischer,Bündnis 90/Die Grünen,299,19
"Kruse, Rüdiger",RuedigerKruse,CDU,58,9
"Kühn, Christian",ChrisKuehn_mdb,Bündnis 90/Die Grünen,330,57
"Kühn, Stephan",stephankuehn,Bündnis 90/Die Grünen,341,26
"Kühne, Dr. Roy",Dr_Roy_Kuehne,CDU,65,19
"Künast, Renate",RenateKuenast,Bündnis 90/Die Grünen,4811,444
"Kurth, Markus",markuskurthmdb,Bündnis 90/Die Grünen,82,19
"Lange, Christian",LangeMdB,SPD,261,42
"Lange, Ulrich",UlrichLange,CSU,0,0
"Launert, Dr. Silke",DrLaunert,CSU,0,0
"Lauterbach, Dr. Karl",Karl_Lauterbach,SPD,2714,1800
"Lay, Caren",CarenLay,Die Linke,702,166
"Lazar, Monika",monikalazar,Bündnis 90/Die Grünen,332,27
"Leidig, Sabine",SabineLeidig,Die Linke,302,50
"Leikert, Dr. Katja",KLeikert,CDU,623,146
"Lemke, Steffi",SteffiLemke,Bündnis 90/Die Grünen,249,16
"Lenz, Dr. Andreas",DerLenzMdB,CSU,663,128
"Leutert, Michael",MichaelLeutert,Die Linke,10,3
"Liebich, Stefan",berlinliebich,Die Linke,2150,161
"Lindholz, Andrea",AndreaLindholz,CSU,0,0
"Lindner, Dr. Tobias",tobiaslindner,Bündnis 90/Die Grünen,250,14
"Lötzsch, Dr. Gesine",LoetzschMdB,Die Linke,322,44
"Luczak, Dr. Jan-Marco",JM_Luczak,CDU,890,95
"Lutze, Thomas",thlutze,Die Linke,0,0
"Magwas, Yvonne",YvonneMagwas,CDU,6,0
"Manderla, Gisela",ManderlaGisela,CDU,132,26
"Mattfeldt, Andreas",AMattfeldt,CDU,0,0
"Mattheis, Hilde",HildeMattheis,SPD,387,87
"Meister, Dr. Michael",meister_schafft,CDU,243,23
"Metzler, Jan",JanMetzler,CDU,0,0
"Michelbach, Dr. Hans",hans_michelbach,CSU,9,2
"Mihalic, Irene",IreneMihalic,Bündnis 90/Die Grünen,372,20
"Mindrup, Klaus",KlausMindrup,SPD,296,33
"Möhring, Cornelia",Conni_Moehring,Die Linke,531,80
"Möring, Karsten",KarstenMoering,CDU,9,0
"Movassat, Niema",NiemaMovassat,Die Linke,4739,691
"Müller, Bettina",BetMueller,SPD,180,46
"Müller, Carsten",CarstenMuellers,CDU,0,0
"Müller, Stefan",smuellermdb,CSU,257,25
"Müller-Gemmeke, Beate",GrueneBeate,Bündnis 90/Die Grünen,166,46
"Müller, Norbert",Norbert_MdB,Die Linke,178,18
"Neu, Dr. Alexander",AlexanderSNeu,Die Linke,317,21
"Nick, Dr. Andreas",DrAndreasNick,CDU,441,30
"Nissen, Ulli",UlliNissen,SPD,1086,118
"Nord, Thomas",NordMdb,Die Linke,358,47
"Notz, Dr. Konstantin von",KonstantinNotz,Bündnis 90/Die Grünen,817,105
"Nouripour, Omid",nouripour,Bündnis 90/Die Grünen,555,37
"Oellers, Wilfried",WilfriedOellers,CDU,0,0
"Oppermann, Thomas",ThomasOppermann,SPD,124,25
"Oßner, Florian",Florian_Ossner,CSU,7,1
"Özdemir, Cem",cem_oezdemir,Bündnis 90/Die Grünen,949,139
"Özdemir, Mahmut",oezdemir_spd,SPD,80,6
"Özoguz, Aydan",oezoguz,SPD,1051,71
"Pantel, Sylvia",SylviaPantel,CDU,38,10
"Paschke, Markus",MarkusPaschke,SPD,41,11
"Pau, Petra",PetraPauMaHe,Die Linke,533,48
"Paus, Lisa",lisapaus,Bündnis 90/Die Grünen,790,87
"Petry, Christian",CPetryMdB,SPD,60,6
"Post, Achim",Achim_P,SPD,509,93
"Post, Florian",FlorianPost,SPD,234,30
"Pronold, Florian",FlorianPronold,SPD,54,7
"Rabanus, Martin",MartinRabanus,SPD,0,0
"Radwan, Alexander",AlexanderRadwan,CSU,0,0
"Rawert, Mechthild",MechthildRawert,SPD,78,11
"Renner, Martina",MartinaRenner,Die Linke,1316,99
"Rimkus, Andreas",Andreas_Rimkus,SPD,615,41
"Rix, Sönke",SoenkeRix,SPD,480,81
"Rohde, Dennis",DennisRohde,SPD,261,7
"Rosemann, Dr. Martin",MartinRosemann,SPD,338,63
"Rossmann, Dr. Ernst Dieter",edrossmann,SPD,97,14
"Rößner, Tabea",TabeaRoessner,Bündnis 90/Die Grünen,547,75
"Roth, Michael",MiRo_SPD,SPD,1767,305
"Rüddel, Erwin",Erwin_Rueddel,CDU,717,251
"Rüffer, Corinna",crueffer,Bündnis 90/Die Grünen,56,14
"Rüthrich, Susann",SusannRuethrich,SPD,0,0
"Saathoff, Johann",Johann_Saathoff,SPD,112,3
"Sarrazin, Manuel",ManuelSarrazin,Bündnis 90/Die Grünen,165,10
"Schauws, Ulle",ulle_schauws,Bündnis 90/Die Grünen,451,32
"Scheuer, Andreas",AndiScheuer,CSU,78,14
"Schiefner, Udo",UdoSchiefner,SPD,3,0
"Schimke, Jana",JanaSchimke,CDU,117,33
"Schipanski, Tankred",TSchipanski,CDU,324,48
"Schmidt, Dagmar",dieschmidt,SPD,30,3
"Schneider , Carsten",schneidercar,SPD,326,41
"Schnieder, Patrick",PSchnieder,CDU,86,5
"Schön, Nadine",NadineSchoen,CDU,153,4
"Schulz-Asche, Kordula",K_SA,Bündnis 90/Die Grünen,1369,372
"Schummer, Uwe",UweSchummer,CDU,1365,186
"Schuster, Armin",armin_schuster,CDU,101,20
"Schwabe, Frank",FrankSchwabe,SPD,690,57
"Schwartze, Stefan",s_schwartze,SPD,55,11
"Schwarz, Andreas",Schwarz_MdB,SPD,801,50
"Schwarzelühr-Sutter, Rita",rischwasu,SPD,279,30
"Sensburg, Prof. Dr. Patrick",PatrickSensburg,CDU,49,7
"Siebert, Bernd",BerndSiebert,CDU,9,1
"Sitte, Dr. Petra",Petra_Sitte_MdB,Die Linke,295,33
"Sorge, Tino",TinoSorge,CDU,254,109
